leaf_type,species,emmean,SE,df,lower.CL,upper.CL,.group
sun,red maple,39.16474857878558,7.034991252081959,180,20.449634461829117,57.879862695742034, a   
shade,red maple,56.25874959804687,7.034991252081963,180,37.5436354810904,74.97386371500335, ab  
sun,white oak,79.58384593788105,4.204211405452779,180,68.39942602810886,90.76826584765324,  bc 
shade,white oak,86.26081861867871,4.204211405452778,180,75.07639870890652,97.4452385284509,   cd
sun,norway maple,89.22401582151232,7.630519365321882,180,68.92462445391358,109.52340718911107,   cd
shade,norway maple,111.52893445089755,7.63051936532191,180,91.22954308329872,131.82832581849638,    d
