species,section,leaf_number,leaf_type,trace_mass_g,tree number,leaf_area_cm2
white oak,3,28,shade,0.724,NA,94.77817166347894
white oak,3,29,sun,0.7133,NA,93.3815709617182
white oak,3,30,shade,0.6038,NA,79.08925536893298
white oak,3,31,sun,0.4426,NA,58.048878441472
white oak,3,32,shade,0.4166,NA,54.65526925962346
white oak,3,33,sun,1.192,NA,155.86313693675274
white oak,3,34,shade,0.257,NA,33.82372982027623
white oak,3,35,sun,0.4153,NA,54.485588800531026
white oak,3,36,shade,0.4472,NA,58.649286219799045
norway maple,4,1,shade,0.6823,3,89.33534462951417
norway maple,4,2,sun,0.7995,3,104.63269063384683
norway maple,4,3,sun,0.57,1,74.67756343252987
norway maple,4,4,shade,0.45,2,59.014751823998125
norway maple,4,5,sun,0.683,3,89.42671103056394
norway maple,4,6,shade,0.7917,1,103.61460787929227
norway maple,4,7,sun,0.6809,2,89.15261182741462
norway maple,4,8,shade,1.0764,2,140.77462842053384
norway maple,4,9,sun,0.4682,1,61.3902782512921
norway maple,4,10,shade,0.7337,3,96.0442489351686
norway maple,4,11,sun,0.8236,1,107.7783052985603
norway maple,4,12,shade,0.6825,1,89.36144931552838
norway maple,4,13,sun,0.429,1,56.27375979250507
norway maple,4,14,shade,0.741,1,96.9970699746876
norway maple,4,15,sun,0.876,1,114.61773303428582
norway maple,4,16,shade,0.773,2,101.17381973696274
norway maple,4,17,sun,0.8005,2,104.76321406391793
norway maple,4,18,shade,0.5682,1,74.4426212584019
norway maple,4,19,sun,0.758,2,99.21596828589627
norway maple,4,20,shade,1.578,2,206.24518094419653
norway maple,4,21,sun,0.8881,2,116.1970665381461
norway maple,4,22,shade,1.883,2,246.05482711588138
norway maple,4,23,sun,0.6055,3,79.31114520005384
norway maple,4,24,shade,0.6306,3,82.58728329483841
norway maple,4,25,sun,0.5197,1,68.11223489995365
norway maple,4,26,shade,0.513,3,67.23772791847729
norway maple,4,27,sun,0.6628,2,86.79013774312774
norway maple,4,28,shade,0.6992,3,91.54119059771573
norway maple,4,29,sun,0.6709,2,87.84737752670365
norway maple,4,30,shade,0.8931,3,116.8496836885016
norway maple,4,31,shade,1.068,3,139.67823160793662
norway maple,4,32,sun,0.7027,3,91.99802260296455
norway maple,4,33,sun,0.6462,3,84.62344880394753
norway maple,4,34,shade,0.726,1,95.03921852362114
red maple,5,1,sun,0.266,1,34.99844069091611
red maple,5,2,shade,0.5778,0,75.69564618708444
red maple,5,3,sun,0.4809,3,63.04792581319504
red maple,5,4,shade,0.2771,0,36.4472507647053
red maple,5,5,sun,0.1618,2,21.39789927750771
red maple,5,6,shade,0.6148,0,80.52501309971505
red maple,5,7,sun,0.272,2,35.7815812713427
red maple,5,8,shade,0.438,0,57.448470663144946
red maple,5,9,sun,0.1844,2,24.347728797114524
red maple,5,10,shade,0.4585,0,60.124200979602456
red maple,5,11,sun,0.1735,2,22.925023409339556
red maple,5,12,shade,0.6036,0,79.06315068291876
red maple,5,13,sun,0.2925,1,38.457311587800206
red maple,5,14,shade,0.4258,0,55.85608481627756
red maple,5,15,sun,0.32,1,42.0467059147554
